Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer
North American Hunting Extravaganza,Wii,2008,Sports,Zushi Games,33,0,0,3,36,,,tbd,,Arcade Moon
ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010,Simulation,Activision,30,3,0,3,36,,,tbd,,Activision
MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,27,8,0,1,36,81,66,7.5,23,Day 1 Studios
Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,Square Enix,17,1,16,2,36,80,39,8.4,57,TOSE
Hamster Club 3,GBA,2002,Simulation,Jorudan,0,0,35,1,36,,,,,
Breath of Fire II,SNES,1994,Role-Playing,Laguna,0,0,36,0,36,,,,,
LEGO Racers,PS,1999,Racing,LEGO Media,20,14,0,2,36,,,,,
Just Dance 2016,PS4,2015,Misc,Ubisoft,17,13,0,6,36,73,10,6.8,20,Ubisoft
ESPN NFL Football,XB,2003,Sports,Sega,27,8,0,1,36,91,25,8.9,45,Visual Concepts
Naruto: Ultimate Ninja 3 (JP sales),PS2,2005,Fighting,Atari,0,0,36,0,36,,,,,
Rapala Pro Fishing,PS2,2004,Sports,Zoo Digital Publishing,18,14,0,5,36,59,6,8.7,32,Activision
ATV/Monster Truck Mayhem,DS,2007,Racing,"Destination Software, Inc",33,0,0,2,36,,,,,
J-League Pro Soccer Club o Tsukurou '04,PS2,2004,Sports,Sega,0,0,36,0,36,,,,,
Spider-Man: Shattered Dimensions,X360,2010,Action,Activision,24,8,0,3,36,76,68,7.6,96,Beenox
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,Strategy,Namco Bandai Games,0,0,36,0,36,,,,,
TMNT,Wii,2007,Action,Ubisoft,30,3,0,3,36,60,17,5.9,11,Ubisoft Montreal
Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,8,4,23,1,36,57,25,4.8,19,"RED Entertainment, Spike Chunsoft"
Disney's The Haunted Mansion,PS2,2003,Platform,Take-Two Interactive,18,14,0,5,36,,,,,
Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,18,14,0,5,36,72,39,8.2,33,Cattle Call
Dance Dance Revolution 3rdMix,PS,2000,Simulation,Konami Digital Entertainment,0,0,33,2,36,,,,,
Ryu Ga Gotoku Kenzan!,PS3,2008,Adventure,Sega,0,0,36,0,36,,,,,
Super Robot Taisen A,GBA,2001,Strategy,Banpresto,0,0,35,1,36,,,,,
Watch Dogs 2,XOne,2016,Action,Ubisoft,17,16,0,3,36,83,9,7.7,131,Ubisoft Montreal
Tiger Woods PGA Tour 09,PSP,2008,Sports,Electronic Arts,7,18,0,10,36,53,4,5.5,6,Exient Entertainment
Boxer's Road,PS,1995,Fighting,New,0,0,33,2,36,,,,,
Frogs And Flies,2600,1981,Action,Mattel Interactive,33,2,0,0,36,,,,,
Harry Potter and the Chamber of Secrets,XB,2002,Action,Electronic Arts,27,8,0,1,36,77,13,7.2,12,Eurocom Entertainment Software
Toriko: Gourmet Survival!,PSP,2011,Role-Playing,Namco Bandai Games,0,0,36,0,36,,,,,
South Park Rally,PS,1998,Racing,Acclaim Entertainment,20,13,0,2,36,,,,,
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Platform,Konami Digital Entertainment,0,0,36,0,36,,,,,
Arctic Thunder,PS2,2001,Racing,Midway Games,17,14,0,5,36,45,23,5.3,10,Inland Productions
NHL 2K10,PS2,2009,Sports,Take-Two Interactive,17,14,0,5,36,,,8.5,4,Take-Two Interactive
J-League Pro Soccer Club o Tsukurou!,DC,1999,Sports,Sega,0,0,36,0,36,,,,,
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,20,12,0,3,36,31,13,2.7,18,Ubisoft
Digging for Dinosaurs,DS,2010,Action,Scholastic Inc.,33,0,0,2,36,,,tbd,,CokeM Interactive
Formula 1 Championship Edition,PS,1997,Racing,Psygnosis,6,4,23,2,36,,,,,
Shrek,XB,2001,Platform,TDK Mediactive,25,10,0,1,36,49,19,5.4,9,Digital Illusions
Dragon's Crown,PSV,2013,Role-Playing,Nippon Ichi Software,14,5,12,5,35,78,15,8.4,198,Vanillaware
Thief (2014),PS3,2014,Action,Square Enix,10,17,2,5,35,,,,,
Blasto,PS,1998,Action,Sony Computer Entertainment,20,13,0,2,35,,,,,
Wipeout 2048,PSV,2012,Racing,Sony Computer Entertainment,13,17,0,5,35,79,63,8.2,191,Studio Liverpool
Wonder Pets! Save the Animals!,DS,2008,Adventure,Take-Two Interactive,33,0,0,2,35,,,,,
Backyard Baseball 2006,GBA,2005,Sports,Atari,25,9,0,1,35,,,,,
Cabela's Outdoor Adventures (2006),PS2,2005,Sports,Zoo Digital Publishing,17,14,0,5,35,,,8.9,17,Sand Grain Studios
Trauma Center: Under the Knife,DS,2005,Simulation,Nintendo,30,1,2,3,35,81,45,8.7,45,ITL
Press Your Luck 2010 Edition,Wii,2009,Misc,Ubisoft,33,0,0,3,35,,,tbd,,Ludia Inc.
Nicktoons: Unite!,GC,2005,Adventure,THQ,27,7,0,1,35,,,,,
Farming Simulator 2015,PS4,2015,Simulation,Koch Media,10,20,0,6,35,,,,,
Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,4,2,27,1,35,69,28,7.5,52,Sandlot
Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,12,20,0,3,35,84,17,8,1671,Monolith Productions
Suikoden V,PS2,2006,Role-Playing,Konami Digital Entertainment,8,6,19,2,35,76,43,7.6,109,Konami
Picross 2,GB,1996,Puzzle,Nintendo,0,0,35,0,35,,,,,
SOCOM: Tactical Strike,PSP,2007,Shooter,Sony Computer Entertainment,32,1,0,3,35,,,,,
Farming Simulator 2015,X360,2015,Simulation,Koch Media,22,11,0,3,35,,,,,
Tiger Woods PGA Tour 14,X360,2013,Sports,Electronic Arts,21,12,0,3,35,77,28,6.2,26,EA Tiburon
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013,Action,Namco Bandai Games,0,0,35,0,35,,,,,
U-Sing,Wii,2009,Misc,Mindscape,0,32,0,3,35,,,,,
Outlaw Golf 2,PS2,2004,Sports,Global Star,17,14,0,5,35,63,20,tbd,,Hypnotix
Momotarou Dentetsu 12,PS2,2003,Misc,Hudson Soft,0,0,35,0,35,,,,,
LocoRoco 2,PSP,2008,Platform,Sony Computer Entertainment,21,9,1,4,35,85,55,8.4,44,SCE Japan Studio
Football Manager Handheld 2010,PSP,2009,Sports,Sega,0,26,0,9,35,69,10,6.9,7,Sports Interactive
Disney's Tarzan: Return to the Jungle,GBA,2002,Action,Activision,25,9,0,1,35,68,8,tbd,,Digital Eclipse
Batman: Rise of Sin Tzu,PS2,2003,Action,Ubisoft,17,13,0,5,35,63,21,8.3,14,Ubisoft Montreal
Cabela's Dangerous Hunts,XB,2003,Sports,Zoo Digital Publishing,26,8,0,1,35,,,9.1,22,FUN Labs
AMF Bowling World Lanes,Wii,2008,Sports,Bethesda Softworks,33,0,0,3,35,,,1.1,10,Vir2L Studios
Kinectimals: Now with Bears!,X360,2011,Misc,Microsoft Game Studios,27,6,0,3,35,,,,,
G-Force,PSP,2009,Action,Electronic Arts,24,6,0,5,35,,,8.8,4,Keen Games
Worms: Open Warfare 2,DS,2007,Strategy,THQ,7,24,0,4,35,81,25,9.1,22,"Team 17, Two Tribes"
Jikkyou Powerful Pro Yakyuu 13,PS2,2006,Sports,Konami Digital Entertainment,0,0,35,0,35,,,,,
Dark Void,PS3,2010,Action,Capcom,18,12,0,5,35,59,50,6,36,Airtight Games
Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,20,11,0,5,35,73,34,7.2,9,Beenox
Mega Man X3,SNES,1995,Action,Laguna,4,1,30,0,35,,,,,
Stunt Race FX,SNES,1993,Racing,Nintendo,0,0,35,0,35,,,,,
NHL 2K10,Wii,2009,Sports,Take-Two Interactive,32,1,0,3,35,79,8,6.8,16,Take-Two Interactive
Bloody Roar 3,PS2,2001,Fighting,Virgin Interactive,15,11,5,4,35,71,20,8.6,34,Eighting/Raizing
WWE Crush Hour,PS2,2003,Racing,THQ,17,13,0,4,35,56,13,5.3,8,Pacific Coast Power & Light
Persona 2: Eternal Punishment,PS,2000,Role-Playing,Atlus,3,2,28,2,35,83,11,8.4,25,Atlus Co.
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,6,21,3,5,35,48,43,3.8,212,Deep Silver Dambuster Studios
Assassin's Creed III,WiiU,2012,Action,Ubisoft,19,13,0,3,35,85,26,7.1,216,Ubisoft Quebec
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,11,13,7,5,35,66,45,7.8,49,Spike Chunsoft
Star Wars: Flight of the Falcon,GBA,2003,Action,THQ,25,9,0,1,35,39,13,5.8,11,Pocket Studios
One Piece: Gigant Battle 2 Shin Sekai,DS,2011,Fighting,Namco Bandai Games,0,0,35,0,35,,,,,
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,Ubisoft,33,0,0,3,35,67,34,8.2,21,Game Arts
Toukiden: The Age of Demons,PSV,2013,Action,Tecmo Koei,4,4,25,2,35,71,44,8,136,Omega Force
Metro: Last Light,X360,2013,Action,Deep Silver,17,15,0,3,35,80,20,8.4,440,4A Games
Jikkyou Powerful Pro Yakyuu 2000,N64,2000,Sports,Konami Digital Entertainment,0,0,29,6,35,,,,,
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,N/A,Action,N/A,15,5,14,1,35,,,,,
Football Manager 2016,PC,2015,Simulation,Sega,0,33,0,2,35,81,34,6.9,97,Sega
Resident Evil: Dead Aim,PS2,2003,Action,Capcom,17,13,0,4,35,65,28,6.6,48,Cavia Inc.
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,Electronic Arts,14,15,0,6,35,,,,,
Need for Speed Carbon,GC,2006,Racing,Electronic Arts,27,7,0,1,35,75,12,7.8,14,EA Canada
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003,Action,THQ,25,9,0,1,35,,,tbd,,Helixe
FIFA Soccer 13,PSP,2012,Action,Electronic Arts,5,18,2,9,35,,,3.2,19,Electronic Arts
The Fairly Odd Parents: Shadow Showdown,PS2,2004,Platform,THQ,17,13,0,4,35,,,,,
EA Sports MMA,X360,2010,Fighting,Electronic Arts,23,9,0,2,35,79,63,7,55,EA Tiburon
Saban's Power Rangers: Lightspeed Rescue,PS,2000,Action,THQ,19,13,0,2,35,,,,,
Xbox Music Mixer,XB,2003,Misc,Microsoft Game Studios,26,8,0,1,35,49,12,tbd,,WildTangent
Defiance,PS3,2013,Shooter,Trion Worlds,19,10,0,6,35,59,21,6.9,145,Trion Worlds
Terminator Salvation,X360,2009,Shooter,Warner Bros. Interactive Entertainment,13,18,0,4,35,48,50,5,53,GRIN
CSI: Deadly Intent - The Hidden Cases,DS,2009,Adventure,Ubisoft,16,15,0,4,35,,,,,
College Hoops 2K8,PS2,2007,Sports,Take-Two Interactive,17,13,0,4,35,66,4,tbd,,Visual Concepts
Destiny: The Taken King,X360,2015,Shooter,Activision,24,8,0,3,35,,,4.4,59,"Bungie Software, Bungie"
Pac-Man All-Stars,PS3,2011,Fighting,Namco Bandai Games,20,7,4,4,35,,,,,
Guitar Hero: Metallica,PS2,2009,Misc,Activision,17,13,0,4,35,,,7.6,9,Neversoft Entertainment
Guilty Gear X2,PS2,2002,Fighting,Sammy Corporation,9,7,16,2,35,87,31,8.7,34,Arc System Works
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,32,0,0,2,35,27,9,4.8,26,Destination Software
Tom Clancy's Rainbow Six: Lockdown,PS2,2005,Shooter,Ubisoft,17,13,0,4,35,70,15,6.9,9,"Red Storm Entertainment, Ubisoft Montreal"
From TV Animation One Piece: Tobidase Kaizokudan!,PS,2001,Role-Playing,Namco Bandai Games,0,0,32,2,35,,,,,
MotoGP 08,X360,2008,Racing,Capcom,11,20,0,4,35,68,20,5.6,12,Milestone S.r.l
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,19,12,0,3,35,71,18,5.1,15,TT Games
The Tale of Despereaux,PS2,2008,Platform,Brash Entertainment,17,13,0,4,35,,,tbd,,Brash Entertainment
Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,17,13,0,4,35,85,31,8.7,14,"Z-Axis, Ltd."
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,11,16,2,5,35,69,50,4.7,578,EA DICE
Sniper Elite 3,XOne,2014,Shooter,505 Games,20,11,0,3,35,63,12,6.6,68,Rebellion
Hello Kitty Daily,DS,2008,Misc,Nobilis,32,0,0,3,35,,,,,
NFL Street,GC,2004,Sports,Electronic Arts,27,7,0,1,35,81,30,8,4,EA Tiburon
Karaoke Revolution,PS2,2003,Misc,Konami Digital Entertainment,17,13,0,4,35,83,29,9.1,17,Harmonix Music Systems
Metal Arms: Glitch in the System,PS2,2003,Shooter,Vivendi Games,17,13,0,4,35,81,28,8.9,17,Mass Media
Tropico 4,X360,N/A,Strategy,Kalypso Media,20,12,0,3,35,77,18,7.5,37,Haemimont
Jikkyou Powerful Pro Yakyuu 7,PS2,2000,Sports,Konami Digital Entertainment,0,0,35,0,35,,,,,
Rally Cross 2,PS,1998,Racing,989 Studios,19,13,0,2,35,,,,,
EverGrace,PS2,2000,Role-Playing,Ubisoft,10,8,15,3,35,59,12,7.8,4,From Software
Enemy Territory: Quake Wars,PS3,2008,Shooter,Activision,23,7,0,4,35,60,30,6.4,14,"Z-Axis, Ltd."
Lunar 2: Eternal Blue Complete,PS,1999,Role-Playing,Kadokawa Shoten,19,13,0,2,35,86,12,8.9,37,Game Arts
Street Fighter Alpha: Warriors' Dreams,SAT,1996,Fighting,Capcom,0,0,35,0,35,,,,,
Rugrats: Royal Ransom,PS2,2002,Platform,THQ,17,13,0,4,35,,,tbd,,Avalanche Software
MLB 06: The Show,PSP,2006,Sports,Sony Computer Entertainment,32,0,0,3,35,83,30,8.5,32,SCEA San Diego Studios
Over the Hedge,GC,2006,Platform,Activision,27,7,0,1,35,61,21,9.3,6,Edge of Reality
Tomb Raider (2013),PC,N/A,Action,Square Enix,6,25,0,4,35,86,18,8.5,3552,"Crystal Dynamics, Nixxes Software"
Charlie and the Chocolate Factory,PS2,2005,Adventure,Global Star,17,13,0,4,35,35,21,4.1,28,"High Voltage Software, Backbone Entertainment"
TrackMania Turbo,PS4,2016,Action,Ubisoft,3,26,0,5,35,81,52,7.9,110,Nadeo
Kurushi Final: Mental Blocks,PS,1998,Puzzle,Sony Computer Entertainment,0,0,32,2,34,,,,,
Risk / Battleship / Clue,GBA,2005,Misc,Zoo Digital Publishing,25,9,0,1,34,,,,,
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts,20,11,0,3,34,85,14,6.7,7,Electronic Arts
Def Jam Icon,X360,2007,Action,Electronic Arts,30,1,0,3,34,69,48,6.3,108,EA Chicago
SD Gundam G Generation World,PSP,2011,Strategy,Namco Bandai Games,0,0,34,0,34,,,,,
The Wild Thornberrys Movie,GBA,2002,Platform,THQ,25,9,0,1,34,,,tbd,,Human Soft
High School Musical 3: Senior Year DANCE!,PS2,2008,Misc,Disney Interactive Studios,17,13,0,4,34,,,,,
Hannah Montana: The Movie,Wii,2009,Adventure,Disney Interactive Studios,13,18,0,4,34,,,tbd,,n-Space
Dynasty Warriors 5 Empires,PS2,2006,Action,Tecmo Koei,11,9,12,3,34,62,23,9.1,24,Omega Force
Call of Duty: Ghosts,WiiU,2013,Shooter,Activision,22,9,1,3,34,69,6,3.4,256,Treyarch
Transformers: Dark of the Moon,PS3,2011,Action,Activision,11,18,0,6,34,57,41,5.6,27,High Moon Studios
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,0,0,34,0,34,98,24,8.8,200,Namco
WipEout 3,PS,1999,Racing,Psygnosis,19,13,0,2,34,89,14,8.5,15,Psygnosis
UEFA Euro 2008 Austria-Switzerland,X360,2008,Sports,Electronic Arts,8,23,0,3,34,,,,,
SpongeBob's Boating Bash,Wii,2010,Misc,THQ,24,7,0,3,34,,,7.6,5,Impulse Games
Classic NES Series: Ice Climber,GBA,2004,Platform,Nintendo,10,4,20,1,34,66,12,tbd,,Nintendo
Pirates of the Caribbean: At World's End,DS,2007,Action,Disney Interactive Studios,30,1,1,3,34,66,14,tbd,,Amaze Entertainment
WWE '12,Wii,2011,Fighting,THQ,23,8,0,3,34,74,6,5.2,9,Yuke's
WWE All Stars,X360,2011,Fighting,THQ,18,14,0,3,34,75,64,7.2,45,THQ
Mini Ninjas,PS3,2009,Action,Eidos Interactive,14,15,0,6,34,73,37,8.7,62,Io Interactive
Tekken Tag Tournament 2,X360,2012,Fighting,Namco Bandai Games,19,11,1,3,34,83,35,7.5,90,Namco Bandai Games
Freeway,2600,1980,Action,Activision,32,2,0,0,34,,,,,
Driver 2 Advance,GBA,2002,Action,Atari,25,9,0,1,34,73,9,6.6,14,Sennari Interactive
Monster Rancher 4,PS2,2003,Simulation,Tecmo Koei,8,6,19,2,34,77,21,9.1,18,Tecmo
Mini Ninjas,DS,2009,Action,Eidos Interactive,16,15,0,4,34,61,10,5.8,4,Magic Pockets
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,Adventure,Disney Interactive Studios,17,13,0,4,34,65,34,8.6,20,Capcom
Iron Storm,SAT,1995,Shooter,Sega,0,0,34,0,34,,,,,
Battalion Wars 2,Wii,2007,Strategy,Nintendo,22,2,8,2,34,75,38,7.6,45,Kuju Entertainment
MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment,7,3,0,25,34,72,10,8.3,6,Virtuos
The Fairly Odd Parents: Shadow Showdown,GBA,2004,Platform,THQ,25,9,0,1,34,,,,,
Marvel Super Heroes,PS,1997,Fighting,Virgin Interactive,19,13,0,2,34,,,,,
Super Bust-A-Move,PS2,2000,Puzzle,Acclaim Entertainment,17,13,0,4,34,75,11,tbd,,Taito Corporation
Hitman: Contracts,XB,2004,Shooter,Eidos Interactive,26,7,0,1,34,78,44,8.8,15,Io Interactive
Supreme Commander 2,X360,2010,Strategy,Square Enix,23,9,0,3,34,75,28,7.1,23,Gas Powered Games
Thunderstrike: Operation Phoenix,PS2,2001,Simulation,Eidos Interactive,17,13,0,4,34,65,15,8.1,7,Core Design Ltd.
Frostbite,2600,1983,Action,Activision,32,2,0,0,34,,,,,
Alien's Return,2600,1982,Action,ITT Family Games,32,2,0,0,34,,,,,
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,Nintendo,7,14,11,2,34,,,,,
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ,31,0,0,3,34,,,,,
Racquet Sports,PS3,2010,Sports,Ubisoft,11,17,0,6,34,45,17,4.3,8,Asobo Studio
Company of Heroes 2,PC,2013,Strategy,THQ,6,25,0,4,34,80,82,2.1,6157,Relic
Trauma Center: Second Opinion,Wii,2006,Simulation,Nintendo,28,1,3,3,34,80,49,8,47,Atlus
DanceDanceRevolution,Wii,2010,Simulation,Konami Digital Entertainment,28,4,0,2,34,,,tbd,,Konami
WWE Day of Reckoning 2,GC,2005,Fighting,THQ,26,7,0,1,34,76,36,6,263,Yuke's
NBA 2K12,Wii,2011,Sports,Take-Two Interactive,29,3,0,2,34,,,6.8,6,Visual Concepts
The Urbz: Sims in the City,XB,2004,Simulation,Electronic Arts,22,11,0,1,34,70,28,6.5,10,Maxis
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,32,2,0,0,34,,,,,
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010,Sports,Sega,9,19,0,7,34,,,,,
Night Warriors: Darkstalkers' Revenge,SAT,1995,Fighting,Virgin Interactive,0,0,34,0,34,,,,,
Rayman Legends,XOne,2014,Platform,Ubisoft,13,18,0,3,34,91,6,7.9,218,Ubisoft Montpellier
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,THQ,31,0,0,2,34,67,5,7.6,10,Tantatus
Monopoly,PS3,2008,Misc,Electronic Arts,25,5,0,4,34,54,4,6.7,13,Electronic Arts
SimCity Creator,DS,2008,Simulation,Electronic Arts,29,2,0,3,34,69,16,7.3,8,Electronic Arts
Off Road Challenge,N64,1998,Racing,GT Interactive,27,6,0,0,34,,,,,
Tenchu Z,X360,2006,Action,Microsoft Game Studios,27,2,2,3,34,56,51,7.3,58,K2 LLC
Bank Heist,2600,1982,Action,20th Century Fox Video Games,32,2,0,0,34,,,,,
Conan,PS3,2007,Action,THQ,13,15,0,5,34,69,35,7.2,40,Nihilistic
Backstreet Billiards,PS,1998,Misc,ASCII Entertainment,19,13,0,2,34,,,,,
Carnival,2600,1981,Shooter,Coleco,32,2,0,0,34,,,,,
Leisure Suit Larry: Magna Cum Laude,PS2,2004,Adventure,Vivendi Games,17,13,0,4,34,60,44,6.3,18,High Voltage Software
MVP 06 NCAA Baseball,XB,2006,Sports,Electronic Arts,25,7,0,1,34,75,29,8.6,17,EA Canada
Naruto Shippuden: Ultimate Ninja Impact,PSP,2011,Fighting,Namco Bandai Games,9,7,15,4,34,59,16,7.2,26,Racjin
Momotarou Dentetsu DS: Tokyo & Japan,DS,2007,Misc,Hudson Soft,0,0,34,0,34,,,,,
Point Blank,PS,1997,Shooter,Sony Computer Entertainment,5,3,23,2,34,,,,,
Disney Infinity 3.0,XOne,2015,Action,Disney Interactive Studios,20,11,0,3,34,,,,,
Speed Racer: The Videogame,DS,2008,Racing,Warner Bros. Interactive Entertainment,28,4,0,3,34,,,,,
F.E.A.R.,X360,2006,Shooter,Vivendi Games,28,3,0,3,34,85,44,7.3,131,Day 1 Studios
Tiny Tank,PS,1998,Action,Sony Computer Entertainment,19,13,0,2,34,,,,,
Yu-Gi-Oh! 5D's Tag Force 5,PSP,2010,Strategy,Konami Digital Entertainment,13,4,14,3,34,,,,,
Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011,Strategy,Ubisoft,22,9,0,3,34,77,49,7.9,78,Ubisoft
Smart Girl's Party Game,DS,2008,Misc,505 Games,31,0,0,2,34,,,tbd,,Starfish
Spy Hunter,XB,2002,Racing,Midway Games,25,7,0,1,34,71,19,tbd,,Point of View
James Bond 007: Legends,PS3,2012,Shooter,Activision,11,16,0,7,34,,,,,
The Sims 3: Town Life Stuff,PC,2011,Simulation,Electronic Arts,11,17,0,5,34,,,6.3,14,The Sims Studio
Herbie: Fully Loaded,GBA,2005,Racing,Disney Interactive Studios,24,9,0,1,34,47,9,6.8,4,Buena Vista Interactive
Teenage Mutant Ninja Turtles,GC,2003,Action,Konami Digital Entertainment,26,7,0,1,34,57,25,8,8,Konami
Kameo: Elements of Power,X360,2005,Action,Microsoft Game Studios,28,3,0,3,34,79,76,8.1,107,Rare Ltd.
Football Manager Handheld 2008,PSP,2007,Sports,Sega,0,33,0,0,34,,,,,
Dynasty Warriors 6 Empires,PS3,2009,Action,Tecmo Koei,14,3,15,2,34,62,22,7,26,Omega Force
The Shoot,PS3,2010,Shooter,Sony Computer Entertainment,13,15,1,5,34,60,39,6.2,11,Cohort Studios
Disney Sing It: Pop Hits,PS2,2009,Misc,Disney Interactive Studios,10,2,0,22,34,,,,,
Dead or Alive 5,PS4,2015,Fighting,Tecmo Koei,9,13,8,4,34,,,,,
My Baby Boy,DS,2008,Simulation,Nobilis,30,1,0,3,34,,,tbd,,Dancing Dots
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,28,0,3,2,34,82,41,8.7,32,1st Playable Productions
Dynasty Warriors: Gundam 2,PS2,2008,Action,Namco Bandai Games,4,3,25,1,34,52,8,6.5,8,Omega Force
Star Ocean: Second Evolution,PSP,2008,Role-Playing,Square Enix,14,1,16,2,34,75,37,7.1,26,TOSE
Imagine: Movie Star,DS,2008,Simulation,Ubisoft,31,0,0,3,34,,,tbd,,"Ubisoft, Powerhead Games"
Fade to Black,PS,1996,Action,Electronic Arts,19,13,0,2,34,,,,,
MXRider,PS2,2001,Racing,Atari,16,13,0,4,34,69,16,6.8,6,Paradigm Entertainment
Disney Magic World 2,3DS,2015,Action,Nintendo,2,11,19,1,34,,,,,
Delta Force: Black Hawk Down,XB,2005,Shooter,NovaLogic,25,7,0,1,34,61,37,6.6,19,Climax Group
Pirates of the Caribbean: At World's End,X360,2007,Action,Disney Interactive Studios,29,2,0,3,34,58,42,5.3,21,Eurocom Entertainment Software
Angry Birds Star Wars,3DS,2013,Strategy,Activision,15,15,0,3,34,,,3,8,Exient Entertainment
World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Oxygen Interactive,16,13,0,4,34,67,20,tbd,,Point of View
The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,28,0,2,3,33,75,43,8.2,51,SCEJ
Sengoku Musou 3 Z,PS3,2011,Action,Ackkstudios,0,0,33,0,33,,,,,
Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,Ubisoft,21,11,0,1,33,66,14,6,27,Ubisoft Shanghai
Iron Man 2,DS,2010,Action,Sega,14,16,0,3,33,54,7,tbd,,Sega Studios San Francisco
Tokyo Highway Battle,PS,1996,Racing,Jaleco,6,4,21,2,33,,,,,
NHL 09,PS3,2008,Sports,Electronic Arts,29,2,0,3,33,88,25,7.7,41,EA Canada
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,8,14,8,4,33,77,74,8.3,222,Square Enix
Beyond Good & Evil,PS2,2003,Adventure,Ubisoft,16,13,0,4,33,,,,,
Banjo-Kazooie: Grunty's Revenge,GBA,2003,Platform,THQ,24,9,0,1,33,72,21,8.1,18,Rare Ltd.
Bomberman World,PS,1998,Puzzle,Sony Computer Entertainment,6,4,22,2,33,,,,,
Bejeweled 3,DS,N/A,Puzzle,Unknown,29,2,0,2,33,75,9,tbd,,PopCap
NHL 17,PS4,2016,Sports,Electronic Arts,19,8,0,6,33,78,26,5.8,67,"EA Canada, EA Vancouver"
Mega Man ZX Advent,DS,2007,Platform,Capcom,22,0,9,2,33,78,27,8.6,32,Inti Creates
Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,Activision,17,13,0,3,33,,,,,
NCAA Basketball 10,PS3,2009,Sports,Electronic Arts,31,0,0,3,33,75,17,7.8,6,EA Canada
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,7,9,15,3,33,,,,,
Jeanne d'Arc,PSP,2006,Role-Playing,Sony Computer Entertainment,21,0,10,2,33,87,45,8.2,74,Level 5
Deathtrap Dungeon,PS,1998,Action,Eidos Interactive,19,13,0,2,33,,,,,
Tales of the World: Radiant Mythology 2,PSP,2009,Role-Playing,Namco Bandai Games,0,0,33,0,33,,,,,
Night at the Museum: Battle of the Smithsonian,DS,2009,Action,Majesco Entertainment,12,18,0,4,33,,,tbd,,Fizz Factor
Harry Potter and the Deathly Hallows - Part 2,X360,2011,Action,Electronic Arts,19,11,0,3,33,44,31,5.4,24,EA Bright Light
Avatar: The Last Airbender,DS,2006,Adventure,THQ,30,1,0,3,33,64,9,6.4,7,TOSE
Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,13,15,0,5,33,51,48,5.8,4,Shift
WWE Wrestlemania XIX,GC,2003,Fighting,THQ,26,7,0,1,33,76,26,8.7,47,Yuke's
The Sims 2,GC,2005,Simulation,Electronic Arts,26,7,0,1,33,73,22,8.3,8,Maxis
Hulk,XB,2003,Action,Universal Interactive,25,7,0,1,33,69,25,7.7,9,Radical Entertainment
